Date,Station,Line,Direction,Hour,Additional_Trips,Passenger_Demand,Current_Trips,Capacity_Per_Trip
2024-09-05,Mahmutbey,M3,Kayaşehir Merkez to Bakırköy Sahil,16,2,981,8,100.0
2024-09-05,Mahmutbey,M3,Kayaşehir Merkez to Bakırköy Sahil,17,7,1496,8,100.0
2024-09-05,Mahmutbey,M3,Kayaşehir Merkez to Bakırköy Sahil,18,14,2210,9,100.0
2024-09-05,Mahmutbey,M7,Mahmutbey to Yıldız,7,1,2250,6,340.0
2024-09-05,Mahmutbey,M7,Mahmutbey to Yıldız,8,2,2148,5,340.0
2024-09-05,Mahmutbey,M7,Yıldız to Mahmutbey,7,1,2250,6,340.0
2024-09-05,Mahmutbey,M7,Yıldız to Mahmutbey,8,2,2148,5,340.0
2024-09-05,Yenibosna,M9,Ataköy to Olimpiyat,7,6,1142,6,100.0
2024-09-05,Yenibosna,M9,Ataköy to Olimpiyat,8,6,1013,5,100.0
2024-09-05,Yenibosna,M9,Ataköy to Olimpiyat,18,1,963,9,100.0
2024-09-05,Yenibosna,M9,Olimpiyat to Ataköy,7,6,1142,6,100.0
2024-09-05,Yenibosna,M9,Olimpiyat to Ataköy,8,6,1013,5,100.0
2024-09-05,Yenibosna,M9,Olimpiyat to Ataköy,18,1,963,9,100.0
2024-09-05,Yenikapı,M2,Hacıosman to Yenikapı,7,4,5363,6,580.0
2024-09-05,Yenikapı,M2,Hacıosman to Yenikapı,8,10,9033,6,580.0
2024-09-05,Yenikapı,M2,Hacıosman to Yenikapı,9,4,5549,6,580.0
2024-09-05,Yenikapı,M2,Yenikapı to Hacıosman,7,4,5363,6,580.0
2024-09-05,Yenikapı,M2,Yenikapı to Hacıosman,8,10,9033,6,580.0
2024-09-05,Yenikapı,M2,Yenikapı to Hacıosman,9,4,5549,6,580.0
2024-09-05,İkitelli Sanayi,M3,Bakırköy Sahil to Kayaşehir Merkez,17,2,965,8,100.0
2024-09-05,İkitelli Sanayi,M3,Bakırköy Sahil to Kayaşehir Merkez,18,9,1792,9,100.0
2024-09-05,İkitelli Sanayi,M3,Kayaşehir Merkez to Bakırköy Sahil,17,2,965,8,100.0
2024-09-05,İkitelli Sanayi,M3,Kayaşehir Merkez to Bakırköy Sahil,18,9,1792,9,100.0
2024-09-05,Şişli-Mecidiyeköy,M2,Hacıosman to Yenikapı,7,40,4582,6,100.0
2024-09-05,Şişli-Mecidiyeköy,M2,Hacıosman to Yenikapı,8,70,7527,6,100.0
2024-09-05,Şişli-Mecidiyeköy,M2,Hacıosman to Yenikapı,9,43,4827,6,100.0
2024-09-05,Şişli-Mecidiyeköy,M2,Hacıosman to Yenikapı,16,27,3524,9,100.0
2024-09-05,Şişli-Mecidiyeköy,M2,Hacıosman to Yenikapı,17,38,4614,9,100.0
2024-09-05,Şişli-Mecidiyeköy,M2,Hacıosman to Yenikapı,18,45,5344,9,100.0
2024-09-05,Şişli-Mecidiyeköy,M2,Yenikapı to Hacıosman,7,40,4582,6,100.0
2024-09-05,Şişli-Mecidiyeköy,M2,Yenikapı to Hacıosman,8,70,7527,6,100.0
2024-09-05,Şişli-Mecidiyeköy,M2,Yenikapı to Hacıosman,9,43,4827,6,100.0
2024-09-05,Şişli-Mecidiyeköy,M2,Yenikapı to Hacıosman,16,27,3524,9,100.0
2024-09-05,Şişli-Mecidiyeköy,M2,Yenikapı to Hacıosman,17,38,4614,9,100.0
2024-09-05,Şişli-Mecidiyeköy,M2,Yenikapı to Hacıosman,18,45,5344,9,100.0
2024-09-05,Şişli-Mecidiyeköy,M7,Mahmutbey to Yıldız,16,1,2754,8,340.0
2024-09-05,Şişli-Mecidiyeköy,M7,Mahmutbey to Yıldız,17,8,5206,8,340.0
2024-09-05,Şişli-Mecidiyeköy,M7,Mahmutbey to Yıldız,18,13,7151,9,340.0
2024-09-05,Şişli-Mecidiyeköy,M7,Yıldız to Mahmutbey,16,1,2754,8,340.0
2024-09-05,Şişli-Mecidiyeköy,M7,Yıldız to Mahmutbey,17,8,5206,8,340.0
2024-09-05,Şişli-Mecidiyeköy,M7,Yıldız to Mahmutbey,18,13,7151,9,340.0
2024-09-06,Bostancı,M4,Kadıköy to Tavşantepe,7,4,970,6,100.0
2024-09-06,Bostancı,M4,Kadıköy to Tavşantepe,8,7,1172,5,100.0
2024-09-06,Bostancı,M4,Kadıköy to Tavşantepe,17,4,1123,8,100.0
2024-09-06,Bostancı,M4,Kadıköy to Tavşantepe,18,5,1396,9,100.0
2024-09-06,Bostancı,M4,Tavşantepe to Kadıköy,7,4,970,6,100.0
2024-09-06,Bostancı,M4,Tavşantepe to Kadıköy,8,7,1172,5,100.0
