station_poi_desc_cd,line_name,transition_date,number_of_passenger
Esenkent,M4,2024-09-04,8852
Esenkent,M4,2024-09-05,9133
Esenkent,M4,2024-09-06,9593
Esenkent,M4,2024-09-07,8976
Esenkent,M4,2024-09-08,8365
Esenkent,M4,2024-09-09,4249
Esenler,M1,2024-09-01,6976
Esenler,M1,2024-09-04,9650
Esenler,M1,2024-09-05,10225
Esenler,M1,2024-09-06,10271
Esenler,M1,2024-09-07,10194
Esenler,M1,2024-09-08,7241
Esenler,M1,2024-09-09,7824
Etiler,M6,2024-09-01,515
Etiler,M6,2024-09-04,1512
Etiler,M6,2024-09-05,1542
Etiler,M6,2024-09-06,1556
Etiler,M6,2024-09-07,1000
Etiler,M6,2024-09-08,523
Etiler,M6,2024-09-09,1151
FISTIKAGACI,M5,2024-09-01,1717
FISTIKAGACI,M5,2024-09-04,2715
FISTIKAGACI,M5,2024-09-05,2691
FISTIKAGACI,M5,2024-09-06,2782
FISTIKAGACI,M5,2024-09-07,2356
FISTIKAGACI,M5,2024-09-08,1683
FISTIKAGACI,M5,2024-09-09,3499
Fevzi Çakmak-Hastane,M4,2024-09-01,3322
Fevzi Çakmak-Hastane,M4,2024-09-04,6934
Fevzi Çakmak-Hastane,M4,2024-09-05,6741
Fevzi Çakmak-Hastane,M4,2024-09-06,6970
Fevzi Çakmak-Hastane,M4,2024-09-07,4446
Fevzi Çakmak-Hastane,M4,2024-09-08,3451
Fevzi Çakmak-Hastane,M4,2024-09-09,5735
Fulya,M7,2024-09-01,401
Fulya,M7,2024-09-04,1279
Fulya,M7,2024-09-05,1277
Fulya,M7,2024-09-06,1254
Fulya,M7,2024-09-07,922
Fulya,M7,2024-09-08,545
Fulya,M7,2024-09-09,651
Gayrettepe,M2,2024-09-01,10695
Gayrettepe,M2,2024-09-02,2
Gayrettepe,M2,2024-09-03,3
Gayrettepe,M2,2024-09-04,27559
Gayrettepe,M2,2024-09-05,27506
Gayrettepe,M2,2024-09-06,27395
Gayrettepe,M2,2024-09-07,16916
Gayrettepe,M2,2024-09-08,12033
Gayrettepe,M2,2024-09-09,15942
Göztepe,M4,2024-09-01,4587
Göztepe,M4,2024-09-04,9894
Göztepe,M4,2024-09-05,10091
Göztepe,M4,2024-09-06,10047
Göztepe,M4,2024-09-07,6889
Göztepe,M4,2024-09-08,4892
Göztepe,M4,2024-09-09,6996
Göztepe,M7,2024-09-01,4294
Göztepe,M7,2024-09-04,7845
Göztepe,M7,2024-09-05,7879
Göztepe,M7,2024-09-06,8109
