Line,transition_hour,Number_of_Trips,Direction,Day_Type,Peak_Hour_Indicator
M3,23,5,Kayaşehir Merkez to Bakırköy Sahil,Weekday,No
M4,0,2,Tavşantepe to Kadıköy,Weekday,No
M4,0,2,Kadıköy to Tavşantepe,Weekday,No
M4,1,2,Tavşantepe to Kadıköy,Weekday,No
M4,1,2,Kadıköy to Tavşantepe,Weekday,No
M4,2,2,Tavşantepe to Kadıköy,Weekday,No
M4,2,2,Kadıköy to Tavşantepe,Weekday,No
M4,3,2,Tavşantepe to Kadıköy,Weekday,No
M4,3,2,Kadıköy to Tavşantepe,Weekday,No
M4,4,2,Tavşantepe to Kadıköy,Weekday,No
M4,4,2,Kadıköy to Tavşantepe,Weekday,No
M4,5,2,Tavşantepe to Kadıköy,Weekday,No
M4,5,2,Kadıköy to Tavşantepe,Weekday,No
M4,6,6,Tavşantepe to Kadıköy,Weekday,No
M4,6,6,Kadıköy to Tavşantepe,Weekday,No
M4,7,6,Tavşantepe to Kadıköy,Weekday,Yes
M4,7,6,Kadıköy to Tavşantepe,Weekday,Yes
M4,8,5,Tavşantepe to Kadıköy,Weekday,Yes
M4,8,5,Kadıköy to Tavşantepe,Weekday,Yes
M4,9,8,Tavşantepe to Kadıköy,Weekday,Yes
M4,9,8,Kadıköy to Tavşantepe,Weekday,Yes
M4,10,8,Tavşantepe to Kadıköy,Weekday,No
M4,10,8,Kadıköy to Tavşantepe,Weekday,No
M4,11,8,Tavşantepe to Kadıköy,Weekday,No
M4,11,8,Kadıköy to Tavşantepe,Weekday,No
M4,12,8,Tavşantepe to Kadıköy,Weekday,No
M4,12,8,Kadıköy to Tavşantepe,Weekday,No
M4,13,8,Tavşantepe to Kadıköy,Weekday,No
M4,13,8,Kadıköy to Tavşantepe,Weekday,No
M4,14,8,Tavşantepe to Kadıköy,Weekday,No
M4,14,8,Kadıköy to Tavşantepe,Weekday,No
M4,15,8,Tavşantepe to Kadıköy,Weekday,No
M4,15,8,Kadıköy to Tavşantepe,Weekday,No
M4,16,8,Tavşantepe to Kadıköy,Weekday,Yes
M4,16,8,Kadıköy to Tavşantepe,Weekday,Yes
M4,17,8,Tavşantepe to Kadıköy,Weekday,Yes
M4,17,8,Kadıköy to Tavşantepe,Weekday,Yes
M4,18,9,Tavşantepe to Kadıköy,Weekday,Yes
M4,18,9,Kadıköy to Tavşantepe,Weekday,Yes
M4,19,9,Tavşantepe to Kadıköy,Weekday,No
M4,19,9,Kadıköy to Tavşantepe,Weekday,No
M4,20,6,Tavşantepe to Kadıköy,Weekday,No
M4,20,6,Kadıköy to Tavşantepe,Weekday,No
M4,21,7,Tavşantepe to Kadıköy,Weekday,No
M4,21,7,Kadıköy to Tavşantepe,Weekday,No
M4,22,6,Tavşantepe to Kadıköy,Weekday,No
M4,22,6,Kadıköy to Tavşantepe,Weekday,No
M4,23,5,Tavşantepe to Kadıköy,Weekday,No
M4,23,5,Kadıköy to Tavşantepe,Weekday,No
M5,0,2,Üsküdar to Samandıra Merkez,Weekday,No
M5,0,2,Samandıra Merkez to Üsküdar,Weekday,No
M5,1,2,Üsküdar to Samandıra Merkez,Weekday,No
M5,1,2,Samandıra Merkez to Üsküdar,Weekday,No
M5,2,2,Üsküdar to Samandıra Merkez,Weekday,No
M5,2,2,Samandıra Merkez to Üsküdar,Weekday,No
M5,3,2,Üsküdar to Samandıra Merkez,Weekday,No
M5,3,2,Samandıra Merkez to Üsküdar,Weekday,No
M5,4,2,Üsküdar to Samandıra Merkez,Weekday,No
M5,4,2,Samandıra Merkez to Üsküdar,Weekday,No
M5,5,2,Üsküdar to Samandıra Merkez,Weekday,No
M5,5,2,Samandıra Merkez to Üsküdar,Weekday,No
M5,6,6,Üsküdar to Samandıra Merkez,Weekday,No
M5,6,6,Samandıra Merkez to Üsküdar,Weekday,No
M5,7,6,Üsküdar to Samandıra Merkez,Weekday,Yes
M5,7,6,Samandıra Merkez to Üsküdar,Weekday,Yes
M5,8,5,Üsküdar to Samandıra Merkez,Weekday,Yes
