station_poi_desc_cd,line_name,transition_date,transition_hour,number_of_passenger
29 Ekim Cumhuriyet,M9,2024-09-07,21,31
29 Ekim Cumhuriyet,M9,2024-09-07,22,12
29 Ekim Cumhuriyet,M9,2024-09-07,23,13
29 Ekim Cumhuriyet,M9,2024-09-08,6,12
29 Ekim Cumhuriyet,M9,2024-09-08,7,28
29 Ekim Cumhuriyet,M9,2024-09-08,8,37
29 Ekim Cumhuriyet,M9,2024-09-08,9,27
29 Ekim Cumhuriyet,M9,2024-09-08,10,10
29 Ekim Cumhuriyet,M9,2024-09-08,11,32
29 Ekim Cumhuriyet,M9,2024-09-08,12,38
29 Ekim Cumhuriyet,M9,2024-09-08,13,53
29 Ekim Cumhuriyet,M9,2024-09-08,14,55
29 Ekim Cumhuriyet,M9,2024-09-08,15,65
29 Ekim Cumhuriyet,M9,2024-09-08,16,51
29 Ekim Cumhuriyet,M9,2024-09-08,17,80
29 Ekim Cumhuriyet,M9,2024-09-08,18,73
29 Ekim Cumhuriyet,M9,2024-09-08,19,42
29 Ekim Cumhuriyet,M9,2024-09-08,20,29
29 Ekim Cumhuriyet,M9,2024-09-08,21,13
29 Ekim Cumhuriyet,M9,2024-09-08,22,21
29 Ekim Cumhuriyet,M9,2024-09-08,23,15
29 Ekim Cumhuriyet,M9,2024-09-09,5,3
29 Ekim Cumhuriyet,M9,2024-09-09,6,40
29 Ekim Cumhuriyet,M9,2024-09-09,7,141
29 Ekim Cumhuriyet,M9,2024-09-09,8,157
29 Ekim Cumhuriyet,M9,2024-09-09,9,142
29 Ekim Cumhuriyet,M9,2024-09-09,10,76
29 Ekim Cumhuriyet,M9,2024-09-09,11,74
29 Ekim Cumhuriyet,M9,2024-09-09,12,81
29 Ekim Cumhuriyet,M9,2024-09-09,13,83
29 Ekim Cumhuriyet,M9,2024-09-09,14,99
29 Ekim Cumhuriyet,M9,2024-09-09,15,136
ACIBADEM,M4,2024-09-01,0,14
ACIBADEM,M4,2024-09-01,1,12
ACIBADEM,M4,2024-09-01,2,4
ACIBADEM,M4,2024-09-01,3,5
ACIBADEM,M4,2024-09-01,4,5
ACIBADEM,M4,2024-09-01,5,12
ACIBADEM,M4,2024-09-01,6,36
ACIBADEM,M4,2024-09-01,7,55
ACIBADEM,M4,2024-09-01,8,73
ACIBADEM,M4,2024-09-01,9,74
ACIBADEM,M4,2024-09-01,10,67
ACIBADEM,M4,2024-09-01,11,93
ACIBADEM,M4,2024-09-01,12,146
ACIBADEM,M4,2024-09-01,13,138
ACIBADEM,M4,2024-09-01,14,177
ACIBADEM,M4,2024-09-01,15,170
ACIBADEM,M4,2024-09-01,16,170
ACIBADEM,M4,2024-09-01,17,192
ACIBADEM,M4,2024-09-01,18,173
ACIBADEM,M4,2024-09-01,19,155
ACIBADEM,M4,2024-09-01,20,104
ACIBADEM,M4,2024-09-01,21,89
ACIBADEM,M4,2024-09-01,22,60
ACIBADEM,M4,2024-09-01,23,40
ACIBADEM,M4,2024-09-04,0,5
ACIBADEM,M4,2024-09-04,5,13
ACIBADEM,M4,2024-09-04,6,90
ACIBADEM,M4,2024-09-04,7,305
ACIBADEM,M4,2024-09-04,8,371
ACIBADEM,M4,2024-09-04,9,251
ACIBADEM,M4,2024-09-04,10,184
ACIBADEM,M4,2024-09-04,11,175
