Line,Station,Direction,transition_date,transition_hour,number_of_passenger,RemainingCapacity
M2,Haliç,Yenikapı to Hacıosman,2024-09-01,7,81,105.6
M2,Şişhane,Yenikapı to Hacıosman,2024-09-01,7,192,106.97
M2,Taksim,Yenikapı to Hacıosman,2024-09-01,7,380,0.0
M2,Osmanbey,Yenikapı to Hacıosman,2024-09-01,7,286,0.0
M2,Şişli-Mecidiyeköy,Yenikapı to Hacıosman,2024-09-01,7,1050,0.0
M2,Gayrettepe,Yenikapı to Hacıosman,2024-09-01,7,297,0.0
M2,Levent,Yenikapı to Hacıosman,2024-09-01,7,709,0.0
M2,4.Levent,Yenikapı to Hacıosman,2024-09-01,7,0,0.0
M2,Sanayi Mahallesi,Yenikapı to Hacıosman,2024-09-01,7,106,105.6
M2,Seyrantepe,Yenikapı to Hacıosman,2024-09-01,7,80,81.97
M2,Ayazağa-İTÜ,Yenikapı to Hacıosman,2024-09-01,7,0,89.54
M2,Atatürk Oto Sanayi,Yenikapı to Hacıosman,2024-09-01,7,45,175.44
M2,Darüşşafaka,Yenikapı to Hacıosman,2024-09-01,7,50,197.44
M2,Hacıosman,Yenikapı to Hacıosman,2024-09-01,7,197,480.0
M2,Hacıosman,Hacıosman to Yenikapı,2024-09-01,8,395,480.0
M2,Darüşşafaka,Hacıosman to Yenikapı,2024-09-01,8,89,85.0
M2,Atatürk Oto Sanayi,Hacıosman to Yenikapı,2024-09-01,8,39,82.9
M2,Ayazağa-İTÜ,Hacıosman to Yenikapı,2024-09-01,8,0,131.26
M2,Seyrantepe,Hacıosman to Yenikapı,2024-09-01,8,131,207.98
M2,Sanayi Mahallesi,Hacıosman to Yenikapı,2024-09-01,8,103,136.83
M2,4.Levent,Hacıosman to Yenikapı,2024-09-01,8,0,109.33
M2,Levent,Hacıosman to Yenikapı,2024-09-01,8,899,190.87
M2,Gayrettepe,Hacıosman to Yenikapı,2024-09-01,8,374,0.0
M2,Şişli-Mecidiyeköy,Hacıosman to Yenikapı,2024-09-01,8,1142,0.0
M2,Osmanbey,Hacıosman to Yenikapı,2024-09-01,8,399,0.0
M2,Taksim,Hacıosman to Yenikapı,2024-09-01,8,335,0.0
M2,Şişhane,Hacıosman to Yenikapı,2024-09-01,8,255,0.0
M2,Haliç,Hacıosman to Yenikapı,2024-09-01,8,103,0.0
M2,Vezneciler-İstanbul Üniv.,Hacıosman to Yenikapı,2024-09-01,8,0,2.6
M2,Yenikapı,Hacıosman to Yenikapı,2024-09-01,8,1104,480.0
M2,Yenikapı,Yenikapı to Hacıosman,2024-09-01,8,1104,480.0
M2,Vezneciler-İstanbul Üniv.,Yenikapı to Hacıosman,2024-09-01,8,0,0.0
M2,Haliç,Yenikapı to Hacıosman,2024-09-01,8,103,105.6
M2,Şişhane,Yenikapı to Hacıosman,2024-09-01,8,255,84.97
M2,Taksim,Yenikapı to Hacıosman,2024-09-01,8,335,0.0
M2,Osmanbey,Yenikapı to Hacıosman,2024-09-01,8,399,0.0
M2,Şişli-Mecidiyeköy,Yenikapı to Hacıosman,2024-09-01,8,1142,0.0
M2,Gayrettepe,Yenikapı to Hacıosman,2024-09-01,8,374,0.0
M2,Levent,Yenikapı to Hacıosman,2024-09-01,8,899,0.0
M2,4.Levent,Yenikapı to Hacıosman,2024-09-01,8,0,0.0
M2,Sanayi Mahallesi,Yenikapı to Hacıosman,2024-09-01,8,103,105.6
M2,Seyrantepe,Yenikapı to Hacıosman,2024-09-01,8,131,84.97
M2,Ayazağa-İTÜ,Yenikapı to Hacıosman,2024-09-01,8,0,40.88
